2017-05-03 15:04:04 --- Connexion de "admin@test.fr" en tant que "Administrateur"
2017-05-03 15:04:06 --- Redirection vers la page "application" par "admin@test.fr"
2017-05-03 15:04:19 --- Redirection vers la page "voile" par "admin@test.fr"
2017-05-03 15:04:28 --- Redirection vers la page "administration" par "admin@test.fr"
2017-05-03 15:04:34 --- Redirection vers la page "gerer_tarifs" par "admin@test.fr"
2017-05-03 15:05:02 --- Redirection vers la page "tarifs" par "admin@test.fr"
2017-05-03 15:34:12 --- Suppression dans la table "tarifs_revision" à ID:14 par ""
2017-05-03 15:34:14 --- Redirection vers la page "tarifs" par "admin@test.fr"
2017-05-03 15:43:34 --- Redirection vers la page "" par "admin@test.fr"
2017-05-03 15:45:08 --- Redirection vers la page "Accueil" par "admin@test.fr"
2017-05-03 15:45:19 --- Redirection vers la page "vitrine_tarifs" par "admin@test.fr"
2017-05-03 15:45:27 --- Redirection vers la page "application" par "admin@test.fr"
2017-05-03 16:12:08 --- Redirection vers la page "Accueil" par "admin@test.fr"
2017-05-03 16:12:20 --- Redirection vers la page "vitrine_prestations" par "admin@test.fr"
2017-05-03 16:12:30 --- Redirection vers la page "vitrine_tarifs" par "admin@test.fr"
2017-05-03 16:12:33 --- Redirection vers la page "application" par "admin@test.fr"
2017-05-03 16:12:45 --- Redirection vers la page "voile" par "admin@test.fr"
2017-05-03 16:12:58 --- Redirection vers la page "annonces" par "admin@test.fr"
2017-05-03 16:13:03 --- Redirection vers la page "administration" par "admin@test.fr"
2017-05-03 16:13:08 --- Redirection vers la page "gerer_tarifs" par "admin@test.fr"
2017-05-03 16:13:36 --- Redirection vers la page "annonces" par "admin@test.fr"
2017-05-03 16:13:41 --- Redirection vers la page "creer_annonce" par "admin@test.fr"
2017-05-03 16:13:49 --- Redirection vers la page "Accueil" par "admin@test.fr"
2017-05-03 16:14:09 --- Redirection vers la page "application" par "admin@test.fr"
2017-05-03 16:18:57 --- Redirection vers la page "administration" par "admin@test.fr"
2017-05-03 16:19:02 --- Redirection vers la page "gerer_tarifs" par "admin@test.fr"
2017-05-03 04:19:13 --- Ajout dans la table "tarifs_articles" de Chalain à 10€ 12.00€ 50% par ""
2017-05-03 16:19:15 --- Redirection vers la page "tarifs" par "admin@test.fr"
2017-05-03 16:24:14 --- Redirection vers la page "voile" par "admin@test.fr"
2017-05-03 16:45:44 --- Redirection vers la page "voile" par "admin@test.fr"
2017-05-03 16:46:58 --- Redirection vers la page "voile" par "admin@test.fr"
2017-05-03 16:49:40 --- Redirection vers la page "voile" par "admin@test.fr"
